User ID,User name,User influence,Tweet text,Tweet ID,Posting date,Retweets,Hash tags,Mentions,Links
fzlsammy,Prince of Sea's,Influential,Cc @iamrana RT @SrBachchan: T 1168 -Many believe Rana to be a male name.. its not ... well not always .. in Persian it means 'queen' .. ,http://twitter.com/fzlsammy/status/356135284452233217,2013-07-13,0,,"@iamrana,@SrBachchan",
mosessapir,Moses Sapir,,@sureshdevsahai1 @SrBachchan any thing for my amit ji ,http://twitter.com/mosessapir/status/356840021195624451,2013-07-15,0,,"@sureshdevsahai1,@SrBachchan",
brisha_15,ABJB Devotee,,@SrBachchan What is the criteria God to get a follow back from u???? Can do anything for that ,http://twitter.com/brisha_15/status/356861579536506881,2013-07-15,0,,@SrBachchan,
_pppranav,♛ Pranav Parab,,Dear @SouravGanguly and  Resp @SrBachchan  Pls make his dream come true ☺☺☺ #thankYou ☺  ,http://twitter.com/_pppranav/status/356139090112024576,2013-07-13,2,#thankYou,"@SouravGanguly,@SrBachchan",https://t.co/MjbzqAbnfH
nysa1812,karima lamki,,"@SrBachchan ""Cooperate with one another to achieve goodness & piety but do not cooperate to achieve evil & enmity."" Qur'aan 5:2 ",http://twitter.com/nysa1812/status/357601202265010177,2013-07-17,0,,@SrBachchan,
mosessapir,Moses Sapir,,@shuklamit @SrBachchan I will bro ,http://twitter.com/mosessapir/status/357506460634185732,2013-07-17,0,,"@shuklamit,@SrBachchan",
nitishmurthy,Nitish Murthy,,@SrBachchan what time do i expect a refurbishment of the frequency of interaction with you this evening? ,http://twitter.com/nitishmurthy/status/356471547692720128,2013-07-14,0,,@SrBachchan,
anatmagen,ANAT MAGEN,,@SrBachchan i just lllooovvvveeee it when you call us EF GANG:))) how sweeeeeetttttt....and so that makes you Head of our Gang:)))hahahahaha ,http://twitter.com/anatmagen/status/356130211898732544,2013-07-13,0,,@SrBachchan,
brisha_15,ABJB Devotee,,Agneepath on Movies Ok channel Ef do watch it best performance by God @SrBachchan ,http://twitter.com/brisha_15/status/358255046791671810,2013-07-19,0,,@SrBachchan,
goswami07,ॐShashi K Goswami ॐ,,"@ash_dubey @SrBachchan IBN7: अंतिम संस्कार में शामिल हुए अमिताभ, शत्रुघ्न सिन्हा, डैनी, रजा मुराद और करण जौहर ",http://twitter.com/goswami07/status/355952124368142336,2013-07-13,0,,"@ash_dubey,@SrBachchan",
